tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,retweeted_status_id,retweeted_status_user_id,retweeted_status_timestamp,expanded_urls,rating_numerator,rating_denominator,name,jpg_url,img_num,favorite_count,retweet_count,breed,dog_stage
892177421306343426,,,2017-08-01 00:17:27,web,"this is tilly. she's just checking pup on you. hopes you're doing ok. if not, she's available for pats, snugs, boops, the whole bit. 13/10 ",,,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,13.0,10.0,tilly,https://pbs.twimg.com/media/dggmov4xsaaul6n.jpg,1.0,33819,6514,chihuahua,nonenonenonenone
891815181378084864,,,2017-07-31 00:18:03,web,this is archie. he is a rare norwegian pouncing corgo. lives in the tall grass. you never know when one may strike. 12/10 ,,,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12.0,10.0,archie,https://pbs.twimg.com/media/dgbdlu1wsaanxj9.jpg,1.0,25461,4328,chihuahua,nonenonenonenone
891327558926688256,,,2017-07-29 16:00:24,web,"this is franklin. he would like you to stop calling him ""cute."" he is a very fierce shark and should be respected as such. 12/10 #barkweek ",,,,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12.0,10.0,franklin,https://pbs.twimg.com/media/df6hr6bumaazzgt.jpg,2.0,41048,9774,basset,nonenonenonenone
891087950875897856,,,2017-07-29 00:08:17,web,here we have a majestic great white breaching off south africa's coast. absolutely h*ckin breathtaking. 13/10 (ig: tucker_marlo) #barkweek ,,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13.0,10.0,,https://pbs.twimg.com/media/df3hwyewsaabqe6.jpg,1.0,20562,3261,chesapeake_bay_retriever,nonenonenonenone
890971913173991426,,,2017-07-28 16:27:12,web,"meet jax. he enjoys ice cream so much he gets nervous around it. 13/10 help jax enjoy more things by clicking below

",,,,"https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13.0,10.0,jax,https://pbs.twimg.com/media/df1eomzxuaalucq.jpg,1.0,12041,2158,appenzeller,nonenonenonenone
890729181411237888,,,2017-07-28 00:22:40,web,when you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,,,,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13.0,10.0,,https://pbs.twimg.com/media/dfybahavwaahutd.jpg,2.0,56848,16716,pomeranian,nonenonenonenone
890609185150312448,,,2017-07-27 16:25:51,web,this is zoey. she doesn't want to be one of the scary sharks. just wants to be a snuggly pettable boatpet. 13/10 #barkweek ,,,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13.0,10.0,zoey,https://pbs.twimg.com/media/dfwuu__xcaepyxi.jpg,1.0,28226,4429,irish_terrier,nonenonenonenone
890240255349198849,,,2017-07-26 15:59:51,web,this is cassie. she is a college pup. studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,,,,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14.0,10.0,cassie,https://pbs.twimg.com/media/dfreyvuw0aao3t9.jpg,1.0,32467,7711,pembroke,doggononenonenone
890006608113172480,,,2017-07-26 00:31:25,web,this is koda. he is a south australian deckshark. deceptively deadly. frighteningly majestic. 13/10 would risk a petting #barkweek ,,,,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13.0,10.0,koda,https://pbs.twimg.com/media/dfnwsy4waaamlis.jpg,1.0,31166,7624,samoyed,nonenonenonenone
889880896479866881,,,2017-07-25 16:11:53,web,this is bruno. he is a service shark. only gets out of the water to assist you. 13/10 terrifyingly good boy ,,,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13.0,10.0,bruno,https://pbs.twimg.com/media/dfl99b1wsaitksg.jpg,1.0,28268,5156,french_bulldog,nonenonenonenone
